
          RHWSSLC  SLC00 SACCS 151ARW CP SALT LAKE CITY UT 
          RHWSSLZ  SLC01 SACCS 151ARW CP DEPLOYED 
          RHWSSRS  BLV01 SACCS AMC TACC EA CELL SCOTT AFB IL 
          RHWSSUU  SUU00 SACCS 60AMW CP TRAVIS AFB CA 
          RHWSSUX  SUX00 SACCS 185ARW CP SIOUX CITY IA 
          RHWSTAB  TAB00 SACCS 625STOS OSK OFFUTT AFB NE 
          RHWSTAC  TAC01 SACCS OIC TRAT C1 
          RHWSTAD  TAD00 SACCS 52FW CP SPANGDAHLEM AB GE 
          RHWSTAE  TAC02 SACCS OIC TRAT L1 
          RHWSTAF  TAF00 SACCS 20AF MOC F E WARREN AFB WY 
          RHWSTAG  TAG00 SACCS 39WG CP INCIRLIK AB TU 
          RHWSTAH  TAC03 SACCS OIC TRAT P1 
          RHWSTAR  TAR00 SACCS 435ABW CP RAMSTEIN AB GE 
          RHWSTFT  TF204 SACCS TF204 BARKSDALE AFB LA 
          RHWSTIK  TIK00 SACCS 507ARW CP TINKER AFB OK 
          RHWSTIZ  TIK01 SACCS 507ARW CP DEPLOYED 
          RHWSTML  TML00 SACCS FAIRECONRON FOUR DET PATUXENT RIVER MD 
          RHWSTMP  TMP00 SACCS FAIRECONRON THREE DET TRAVIS AFB CA 
          RHWSTSB  TSB00 SACCS 702MUNSS CP BUECHEL AB GE 
          RHWSTYK  TYS01 SACCS 134ARW CP DEPLOYED 
          RHWSTYS  TYS00 SACCS 134ARW MCGHEE TYSON ANGB TN 
          RHWSUCC  MCF04 SACCS USSOCOM DEPLOYED 
          RHWSUST  SUU01 SACCS 55SCS NQCC OFFUTT AFB NE 
          RHWSWHB  WHI01 SACCS 509BW WHITEMAN AFB MO 
          RHWSWRI  WRI00 SACCS 108ARW MCGUIRE AFB NJ 
          RHWSWRY  WRI03 SACCS 305AMW CP MCGUIRE AFB NJ 
          RHWSWRZ  WRI01 SACCS 108ARW CP DEPLOYED 
          RHWWCSC  OL A FQ SSG OFFUTT AFB NE 
          RIFD     MAJOR RELAY STATION MOD IT 
          RIFEY    STAMADIFESA RIS 
          RIFM     MAJOR RELAY STATION ITALIAN NAVY ROME IT 
          RIFMA    MINOR RELAY STATION NAVAL GENERAL STAFF ROME IT 
          RIFMR    MARISTAT  

           
           
          RIFMU    STAMADIFESA CII 
          RIFTE    COMAEROSQUADRA ROMA  
          RIFTH    COFA VICENZA IT 
          RIFTJS   RSSTA DECIMOMANNU  
          RKQACSA  PRIRELSTA ATHENS GRC 
          RKQACUA  UK AIR ATTACHE ATHENS GRC 
          RKQAMFA  MFA ATHENS GRC 
          RKQCCCA  HNDGS ATHEN GRC 
          RKQCDEP  NARFA GREECE ATHENS GRC 
          RKQCMOD  HDID ATHENS GRC 
          RKQCNOB  NOB GREECE ATHENS GRC 
          RKQCRYP  MOD GR /CRYPTOCENTER/ ATHENS GR 
          RKQCZOV  COMMCEN FOR UNLISTED SMAS ATHENS GRC 
          RKQDCAA  HAGS ATHENS GR 
          RKQDCRA  HAGS /CRYPTOCENTER/ ATHENS GR 
          RKQEACA  5 INF BDE PHQ CHANIA GRC 
          RKQF     AMC ATHENS GR 
          RKQFGYS  HELMILGEOSVC ATHENS GRC 
          RKQFHCA  651 ORDNANCE DEPOT AGIOS STEFANOS GRC 
          RKQG     MINRELSTA HFA LARISSA GR 
          RKQGCAA  HFA LARISSA GRC 
          RKQICSA  COMMCEN CHANIA GRC 
          RKQKCAA  SNOA PIRAEUS GRC 
          RKQKECA  SNONG THESSALONIKI GRC 
          RKQKMPS  353 MPS ELEFSIS GRC 
          RKQNCFA  BCST X11A ATHENS GRC 
          RKQNCWA  BCST K13A ATHENS GRC 
          RKQNDCA  COMHELNAVLOG ATHENS GRC 
          RKQNECA  CHIEF HNGS ATHENS GRC 
          RKQPCAA  HTAF LARISSA GRC 
          RKQPCSA  MINRELSTA HTAF LARISSA GRC 
          RKQPPLA  110 CW LARISSA GRC 
          RKQPPNA  AIR BASE ANDRAVIDA GRC 
          RKQPPRA  116 CW ARAXOS GRC 

           
           
          RKQPPTA  HAI TANAGRA GRC 
          RKQPSAA  132 AB AGRINION GRC 
          RKQRCAA  HAFGS ATHENS GRC 
          RKQRDCA  112 CW ELEFSIS GRC 
          RKQREBA  HAF TRC ATHENS GRC 
          RKQRNCA  HAF CLBN SERVICE ATHENS GRC 
          RKQSCSA  COMMCEN NATO SALAMIS GRC 
          RKQSDES  COMHELDES SALAMIS GRC 
          RKQSFLT  COMHELFLEET SALAMIS GRC 
          RKQTCAA  COMHELFASTBOAT SKARAMAGAS GRC 
          RKQTNSC  HNSC SKARAMAGAS GRC 
          RKQWCAA  A CORPS KOZANI GRC 
          RKQWCSA  COMMCEN KOZANI GRC 
          RKQXCAA  B CORPS VERIA GRC 
          RKQXCSA  COMMCEN VERIA GRC 
          RKQYCAA  C CORPS THESSALONIKI GRC 
          RKQZCAA  D CORPS XANTHI GRC 
          RKQZCSA  COMMCEN XANTHI GRC 
          RNFAD    MOD NL  
          RNFL     MAJRELSTA DENHELDER RNLN 
          RNFLG    CINCRNLN 
          RNFPPA   COMRNLAF 
          RNFPTF   COMRNLA 
          RNFPTH   AB LEEUWARDEN, 71(NL) AFU LEEUWARDEN 
          RNFPVD   AB VOLKEL,76(NL)AFU VOLKEL 
          RNFPVG   AB WOENSDRECHT 
          RNFPVI   1 RNLAF SIGGP 
          ROJF     JAPANESE MARITIME SELF DEFENSE FORCE 
          ROJFJPN  COMMANDS OF JAPANESE MARITIME SELF DEFENSE FORCE TOKYO JA 
          RPFN     MAJOR RELAY STATION CHIEF OF NAVAL STAFF LISBON PO 
          RPFW     GATEWAY PO 
          RQFTAN   10(BE)TAC WG 
          RQFZ     PRIRELSTA PEUTIE 
          RQFZA    CHOD BE 

           
           
          RUACAAA  COMUSKOREA INTEL SEOUL KOR 
          RUACCIH  CDR524THMIBN OPS SEOUL KOR 
          RUACDIS  CDR501STDISW SEOUL KOR 
          RUACDSK  FOB-K INTEL SEOUL KOR 
          RUACDTS  DTES UIJONGBU KOR 
          RUACFOF  CDR501STMIBDE INTEL SEOUL KOR 
          RUACIDC  CDR501STGCCIDCK PYONGTAEK KOR 
          RUACSOC  COMSOCKOR INTEL SEOUL KOR 
          RUACSSP  COMUSKOREA SSPS SEOUL KOR 
          RUACTAA  CDR19THTAACOM INTEL TAEGU KOR 
          RUACTES  TESFWD501MIBDE PYONGTAEK KOR 
          RUALEAJ  ALCOM J2  
          RUALINT  605AIS YOKOTA AB JA 
          RUALJPS  PASSJ YOKOTA AB JA 
          RUALSFJ  COMUSJAPAN YOKOTA AB JA 
          RUAYAAX  OICC ATSUGI JA 
          RUAYACY  COMCARAIRWING DET ATSUGI JA 
          RUAYEAD  COMSCFE ALT 
          RUAYEAR  SCPC PUSAN KOR 
          RUAYIAA  COMSUBGRU SEVEN 
          RUAYIAB  COMSUBFORSEVENTHFLT YOKOSUKA JA 
          RUAYIAS  COMSUBGRUSEVEN STT 
          RUAYIAT  SEVENTHFLT TIMS YOKOSUKA JA 
          RUAYIBD  PSBD BCST,PSBK BCST,PSBQ BCST,PSBR BCST 
          RUCB     NCTAMS LANT DET HAMPTON ROADS NORFOLK VA 
          RUCBACA THRU RUCBACZ  CDR USJFCOM NORFOLK VA 
          RUCBACM  JFCOM JIOC CICC 
          RUCBAIC  JTC-I NORFOLK VA 
          RUCBAID  CRYPTSUPPGRU JFCOM NORFOLK VA 
          RUCBAIF  DODSUPPGRU NORFOLK VA 
          RUCBAIJ  NSA REP JFCOM NORFOLK VA 
          RUCBAIK  NCR JFCOM NORFOLK VA 
          RUCBAPS  APSLANT NORFOLK VA 
          RUCBATA  CECLANT REP NORFOLK  

           
           
          RUCBCGL  COGARD LO COMLANTFLT NORFOLK VA 
          RUCBCLF  COMUSFLTFORCOM NORFOLK VA 
          RUCBCLF  CTG 20.19 
          RUCBDET  COMLANTFLTDET ONE NORFOLK VA 
          RUCBGCC  USJFCOM GCCC NORFOLK VA 
          RUCBJEC  USCINCJFCOM JECG SUFFOLK VA 
          RUCBKMC  COMSUBLANT NORFOLK VA 
          RUCBLCA  LCAMHS NORFOLK VA 
          RUCBLYA  TWR ONE 
          RUCBNKB  OCEANDATAREDCEN OSLO NO 
          RUCBOCA  COMOCEANSUBAREA NORFOLK VA 
          RUCBOPA  CJTF 123 
          RUCBPAT  COMPATRECONGRULANT NORFOLK VA 
          RUCBRES  COMLANTFLT RESLIAISONOFF NORFOLK VA 
          RUCBSEA  COMOCEANLANT (TACTICAL) 
          RUCBSSO  SSO OCEANA VA 
          RUCBTEC  USLO HQ SACT NORFOLK VA 
          RUCBTED  US FLEET FORCES BAND NORFOLK VA 
          RUCBWMA  LANT NCCS CASREP NORFOLK VA 
          RUCBXAA  COMSUBLANT STT NORFOLK VA 
